text,sentiment
Piklix123,0.0
O retorno do Orkut?,0.0
Orkut Nostalgia,0.0
Mais um design do Orkut,0.0
relembre os clássicos joguinhos do Orkut. como erra esse jogo BuddyPoke.,0.0
Orkut recreated by a brazilian guy called Murillo Fagá,0.0
Volta orkut!,0.0
fico felis poriço,0.0
Outro design do meu novo site baseado no no Orkut,0.2235
é foda,0.0
vhuigrtu,0.0
Quando o Orkut vai voltar? Resposta te deixará do boca aberta,0.0
"Angiru, nova rede social Orkut-like",0.0
Será que será essa a interface do novo Orkut para dispositivos Web com telas grandes?,0.0
MonkeyDLuffyBr,0.0
I miss orkut,-0.1531
"Bye Bye #Orkut, this article resembles the old memories . #LastLogIn",0.0
"Google Is Shutting Down Orkut, Its First Social Network, On September 30",0.0
olha,0.0
How many still miss orkut? I terribly miss it and found it thousands times better than facebook?,-0.504
O Orkut vai voltar?,0.0
outro design do Orkut,0.0
Orkut is coming back!,0.0
não tenho nostalgia,0.0
Remaking Orkut but in English,0.0
what do i do in orkut? / oque eu faço no orkut?,-0.3736
ginza.com.br,0.0
Temas para personalizar o Orkut de Carnaval,0.0
aborto atrasado,0.0
patotinhadosmemes,0.0
